id,startDate,endDate,clientId,status,name,cpf,phone,email
974,2024-09-19T23:03:21.000Z,2024-09-20T00:07:21.000Z,974,active,NÚBIA MORAES,842.xxx.xxx-57,(67) 9xxxx-3305,nubi****raes@hotmail.com
965,2024-09-19T14:59:24.000Z,2024-09-19T16:05:24.000Z,965,active,EMANUEL BATISTA,775.xxx.xxx-90,(67) 9xxxx-1201,eman*********ta13@live.com
1065,2024-09-19T13:58:10.000Z,2024-09-19T14:44:10.000Z,1065,active,HEITOR FRANCO,585.xxx.xxx-46,(67) 9xxxx-7250,heit*****anco@bol.com.br
922,2024-09-19T13:01:44.000Z,2024-09-19T14:16:44.000Z,922,active,MARIA BATISTA,051.xxx.xxx-11,(67) 9xxxx-0438,mari*****ista@hotmail.com
1229,2024-09-19T12:59:49.000Z,2024-09-19T13:49:49.000Z,1229,active,DAVI LUCCA CARVALHO,010.xxx.xxx-05,(67) 9xxxx-5602,davi************ho80@yahoo.com
1067,2024-09-19T12:02:32.000Z,2024-09-19T12:56:32.000Z,1067,active,LUIZA MOREIRA,226.xxx.xxx-15,(67) 9xxxx-1390,luiz*******ra15@yahoo.com
1019,2024-09-19T11:59:43.000Z,2024-09-19T13:03:43.000Z,1019,active,RICARDO MOREIRA,911.xxx.xxx-05,(67) 9xxxx-1173,rica*********ra87@hotmail.com
1232,2024-09-19T11:44:52.000Z,2024-09-19T12:46:52.000Z,1232,active,ANTONELLA NOGUEIRA,181.xxx.xxx-72,(67) 9xxxx-4905,anto************ra33@live.com
893,2024-09-19T10:36:37.000Z,2024-09-19T11:30:37.000Z,893,active,ANTONELLA MORAES,637.xxx.xxx-54,(67) 9xxxx-4351,anto********raes@gmail.com
1177,2024-09-18T23:59:18.000Z,2024-09-19T00:48:18.000Z,1177,active,ISABEL BATISTA,875.xxx.xxx-22,(67) 9xxxx-7083,isab******ista@live.com
1173,2024-09-18T23:31:49.000Z,2024-09-19T00:38:49.000Z,1173,active,MURILO MACEDO,761.xxx.xxx-90,(67) 9xxxx-4208,muri*******do24@gmail.com
1044,2024-09-18T23:28:58.000Z,2024-09-19T00:25:58.000Z,1044,active,MARCELO A. SARAIVA,159.xxx.xxx-36,(67) 9xxxx-5952,marc*******aiva@live.com
1092,2024-09-18T23:25:00.000Z,2024-09-19T00:18:00.000Z,1092,active,LORRAINE NOGUEIRA,322.xxx.xxx-09,(67) 9xxxx-6804,lorr***********ra34@live.com
1022,2024-09-18T22:41:38.000Z,2024-09-18T23:45:38.000Z,1022,active,ISAAC MORAES,026.xxx.xxx-54,(67) 9xxxx-9309,isaa****raes@hotmail.com
1047,2024-09-18T20:13:54.000Z,2024-09-18T21:02:54.000Z,1047,active,FELICIANO MOREIRA,351.xxx.xxx-68,(67) 9xxxx-7156,feli***********ra40@bol.com.br
1076,2024-09-18T19:39:08.000Z,2024-09-18T20:39:08.000Z,1076,active,YAGO V. PEREIRA,965.xxx.xxx-87,(67) 9xxxx-4777,yago******ra23@live.com
1017,2024-09-18T19:29:58.000Z,2024-09-18T20:34:58.000Z,1017,active,MELISSA PEREIRA,226.xxx.xxx-63,(67) 9xxxx-1811,meli*******eira@bol.com.br
1163,2024-09-18T19:16:44.000Z,2024-09-18T20:15:44.000Z,1163,active,CÉSAR SARAIVA,441.xxx.xxx-92,(67) 9xxxx-4191,cesa*****aiva@hotmail.com
1221,2024-09-18T14:54:06.000Z,2024-09-18T15:58:06.000Z,1221,active,THÉO O. ALBUQUERQUE,551.xxx.xxx-18,(67) 9xxxx-8982,theo**********ue18@live.com
1087,2024-09-18T14:36:48.000Z,2024-09-18T15:40:48.000Z,1087,active,GIOVANNA BARROS,257.xxx.xxx-87,(67) 9xxxx-0593,giov*******rros@live.com
965,2024-09-18T14:27:35.000Z,2024-09-18T15:41:35.000Z,965,active,EMANUEL BATISTA,775.xxx.xxx-90,(67) 9xxxx-1201,eman*********ta13@live.com
907,2024-09-18T14:09:35.000Z,2024-09-18T15:03:35.000Z,907,active,MARIANA NOGUEIRA,036.xxx.xxx-77,(67) 9xxxx-4873,mari********eira@yahoo.com
1120,2024-09-18T13:57:13.000Z,2024-09-18T14:51:13.000Z,1120,active,SARAH I. SILVA,202.xxx.xxx-21,(67) 9xxxx-2362,sara*****va82@live.com
995,2024-09-18T13:51:47.000Z,2024-09-18T14:41:47.000Z,995,active,CECÍLIA H. MACEDO,537.xxx.xxx-86,(67) 9xxxx-5228,ceci******cedo@bol.com.br
922,2024-09-18T13:25:01.000Z,2024-09-18T14:31:01.000Z,922,active,MARIA BATISTA,051.xxx.xxx-11,(67) 9xxxx-0438,mari*****ista@hotmail.com
1010,2024-09-18T13:22:31.000Z,2024-09-18T14:18:31.000Z,1010,active,MÁRCIA REIS,628.xxx.xxx-89,(67) 9xxxx-4612,marc***reis@live.com
1107,2024-09-18T13:05:34.000Z,2024-09-18T13:52:34.000Z,1107,active,ENZO XAVIER,676.xxx.xxx-38,(67) 9xxxx-1641,enzo*****er67@gmail.com
1095,2024-09-18T13:02:14.000Z,2024-09-18T14:00:14.000Z,1095,active,FABRÍCIO I. SILVA,742.xxx.xxx-84,(67) 9xxxx-8432,fabr********va28@live.com
1073,2024-09-18T12:51:36.000Z,2024-09-18T13:56:36.000Z,1073,active,JOÃO PEDRO FRANCO,045.xxx.xxx-56,(67) 9xxxx-3694,joao**********co47@hotmail.com
953,2024-09-18T12:47:44.000Z,2024-09-18T13:39:44.000Z,953,active,CARLA REIS,526.xxx.xxx-10,(67) 9xxxx-4129,carl**reis@bol.com.br
943,2024-09-18T12:37:23.000Z,2024-09-18T13:29:23.000Z,943,active,LAVÍNIA MELO,141.xxx.xxx-15,(67) 9xxxx-3430,lavi*****elo8@bol.com.br
1127,2024-09-18T12:33:22.000Z,2024-09-18T13:31:22.000Z,1127,active,PAULA E. NOGUEIRA,721.xxx.xxx-74,(67) 9xxxx-8408,paul********ra84@bol.com.br
1229,2024-09-18T12:20:49.000Z,2024-09-18T13:17:49.000Z,1229,active,DAVI LUCCA CARVALHO,010.xxx.xxx-05,(67) 9xxxx-5602,davi************ho80@yahoo.com
963,2024-09-18T12:16:14.000Z,2024-09-18T13:01:14.000Z,963,active,WARLEY XAVIER,572.xxx.xxx-46,(67) 9xxxx-6633,warl*****vier@hotmail.com
1201,2024-09-18T12:15:22.000Z,2024-09-18T13:22:22.000Z,1201,active,JOANA I. SOUZA,511.xxx.xxx-12,(67) 9xxxx-2426,joan***ouza@hotmail.com
1232,2024-09-18T11:38:24.000Z,2024-09-18T12:29:24.000Z,1232,active,ANTONELLA NOGUEIRA,181.xxx.xxx-72,(67) 9xxxx-4905,anto************ra33@live.com
1019,2024-09-18T11:06:07.000Z,2024-09-18T12:08:07.000Z,1019,active,RICARDO MOREIRA,911.xxx.xxx-05,(67) 9xxxx-1173,rica*********ra87@hotmail.com
949,2024-09-18T11:05:58.000Z,2024-09-18T12:13:58.000Z,949,active,CAUÃ BATISTA,285.xxx.xxx-71,(67) 9xxxx-9804,caua******ta82@bol.com.br
